Kind,Name,CountLineCode,CountLineComment,CountDeclInstanceMethod,CountDeclClass
Unnamed Function,"Modal.prototype.hideModal.(unnamed_function_31)",2,0,,
Function,"Modal.prototype.measureScrollbar",8,1,,
Function,"Modal.prototype.removeBackdrop",4,0,,
Function,"Modal.prototype.resetScrollbar",3,0,,
Function,"Modal.prototype.setScrollbar",4,0,,
Function,"Modal.prototype.show",36,3,,
Unnamed Function,"Modal.prototype.show.(unnamed_function_27)",22,3,,
Unnamed Function,"Modal.prototype.show.(unnamed_function_27).(unnamed_function_28)",2,0,,
Function,"Modal.prototype.toggle",3,0,,
File,"Pedido.java",11,0,5,1
File,"Pedido.java",79,3,12,1
File,"PedidoController.java",129,4,13,1
File,"PedidoControllerProduct.java",77,0,7,1
File,"PedidoDAO.java",40,0,5,1
File,"PedidoService.java",44,0,9,1
Function,"Popover.prototype.arrow",3,0,,
Function,"Popover.prototype.getContent",8,0,,
Function,"Popover.prototype.getDefaults",3,0,,
Function,"Popover.prototype.hasContent",3,0,,
Function,"Popover.prototype.setContent",11,3,,
Function,"Popover.prototype.tip",4,0,,
File,"Reserva.java",134,0,16,1
File,"ReservaController.java",65,3,6,1
File,"ReservaControllerProduct.java",30,0,2,1
File,"ReservaDAO.java",47,1,6,1
File,"ReservaService.java",60,3,9,1
Function,"ScrollSpy.prototype.activate",18,0,,
Function,"ScrollSpy.prototype.getScrollHeight",3,0,,
Function,"ScrollSpy.prototype.process",24,0,,
Function,"ScrollSpy.prototype.refresh",28,0,,
Unnamed Function,"ScrollSpy.prototype.refresh.(unnamed_function_45)",6,0,,
Unnamed Function,"ScrollSpy.prototype.refresh.(unnamed_function_46)",1,0,,
Unnamed Function,"ScrollSpy.prototype.refresh.(unnamed_function_47)",4,0,,
Function,"Tab.prototype.activate",29,1,,
Function,"Tab.prototype.activate.next",17,1,,
Function,"Tab.prototype.show",24,1,,
Unnamed Function,"Tab.prototype.show.(unnamed_function_52)",2,0,,
Function,"Tooltip.prototype.applyPlacement",33,5,,
Function,"Tooltip.prototype.arrow",3,0,,
Function,"Tooltip.prototype.destroy",4,0,,
Function,"Tooltip.prototype.disable",3,0,,
Function,"Tooltip.prototype.enable",3,0,,
Function,"Tooltip.prototype.enter",14,0,,
Unnamed Function,"Tooltip.prototype.enter.(unnamed_function_39)",3,0,,
Function,"Tooltip.prototype.fixTitle",6,0,,
Function,"Tooltip.prototype.getCalculatedOffset",6,1,,
Function,"Tooltip.prototype.getDefaults",3,0,,
Function,"Tooltip.prototype.getDelegateOptions",8,0,,
Unnamed Function,"Tooltip.prototype.getDelegateOptions.(unnamed_function_38)",3,0,,
Function,"Tooltip.prototype.getOptions",10,0,,
Function,"Tooltip.prototype.getPosition",10,0,,
Function,"Tooltip.prototype.getTitle",8,0,,
Function,"Tooltip.prototype.getUID",5,0,,
Function,"Tooltip.prototype.getViewportAdjustedDelta",24,4,,
Function,"Tooltip.prototype.hasContent",3,0,,
