Kind,Name,AvgCyclomatic,SumCyclomatic,MaxEssential,MaxNesting
File,"LoginController.java",1,3,1,0
File,"Mesa.java",1,12,1,0
File,"MesaController.java",1,10,1,2
File,"MesaDAO.java",1,3,1,0
File,"MesaService.java",1,10,1,2
Function,"Modal.prototype.backdrop",,13,,3
Unnamed Function,"Modal.prototype.backdrop.(unnamed_function_32)",,3,,1
Function,"Modal.prototype.backdrop.callbackRemove",,1,,0
Function,"Modal.prototype.checkScrollbar",,2,,1
Function,"Modal.prototype.enforceFocus",,3,,0
Unnamed Function,"Modal.prototype.enforceFocus.(unnamed_function_29)",,2,,1
Function,"Modal.prototype.escape",,4,,2
Unnamed Function,"Modal.prototype.escape.(unnamed_function_30)",,1,,0
Function,"Modal.prototype.hide",,4,,1
Function,"Modal.prototype.hideModal",,2,,0
Unnamed Function,"Modal.prototype.hideModal.(unnamed_function_31)",,1,,0
Function,"Modal.prototype.measureScrollbar",,1,,0
Function,"Modal.prototype.removeBackdrop",,1,,0
Function,"Modal.prototype.resetScrollbar",,1,,0
Function,"Modal.prototype.setScrollbar",,2,,1
Function,"Modal.prototype.show",,7,,1
Unnamed Function,"Modal.prototype.show.(unnamed_function_27)",,5,,1
Unnamed Function,"Modal.prototype.show.(unnamed_function_27).(unnamed_function_28)",,1,,0
Function,"Modal.prototype.toggle",,2,,0
File,"Pedido.java",1,14,1,1
File,"Pedido.java",0,0,0,0
File,"PedidoController.java",1,16,1,1
File,"PedidoControllerProduct.java",1,9,1,1
File,"PedidoDAO.java",1,5,1,0
File,"PedidoService.java",1,9,1,0
Function,"Popover.prototype.arrow",,1,,0
Function,"Popover.prototype.getContent",,2,,0
Function,"Popover.prototype.getDefaults",,1,,0
Function,"Popover.prototype.hasContent",,1,,0
Function,"Popover.prototype.setContent",,5,,1
Function,"Popover.prototype.tip",,2,,1
File,"Reserva.java",1,23,1,2
File,"ReservaController.java",1,9,1,2
File,"ReservaControllerProduct.java",1,3,1,1
File,"ReservaDAO.java",1,6,1,0
File,"ReservaService.java",1,11,1,2
Function,"ScrollSpy.prototype.activate",,2,,1
Function,"ScrollSpy.prototype.getScrollHeight",,1,,0
Function,"ScrollSpy.prototype.process",,5,,1
Function,"ScrollSpy.prototype.refresh",,5,,1
Unnamed Function,"ScrollSpy.prototype.refresh.(unnamed_function_45)",,1,,0
Unnamed Function,"ScrollSpy.prototype.refresh.(unnamed_function_46)",,1,,0
Unnamed Function,"ScrollSpy.prototype.refresh.(unnamed_function_47)",,1,,0
Function,"Tab.prototype.activate",,5,,0
Function,"Tab.prototype.activate.next",,3,,1
Function,"Tab.prototype.show",,5,,1
Unnamed Function,"Tab.prototype.show.(unnamed_function_52)",,1,,0
Function,"Tooltip.prototype.applyPlacement",,9,,1
Function,"Tooltip.prototype.arrow",,1,,0
Function,"Tooltip.prototype.destroy",,1,,0
Function,"Tooltip.prototype.disable",,1,,0
Function,"Tooltip.prototype.enable",,1,,0
Function,"Tooltip.prototype.enter",,6,,1
Unnamed Function,"Tooltip.prototype.enter.(unnamed_function_39)",,2,,1
Function,"Tooltip.prototype.fixTitle",,2,,1
Function,"Tooltip.prototype.getCalculatedOffset",,4,,0
Function,"Tooltip.prototype.getDefaults",,1,,0
Function,"Tooltip.prototype.getDelegateOptions",,3,,0
Unnamed Function,"Tooltip.prototype.getDelegateOptions.(unnamed_function_38)",,2,,1
Function,"Tooltip.prototype.getOptions",,2,,1
Function,"Tooltip.prototype.getPosition",,6,,0
Function,"Tooltip.prototype.getTitle",,2,,0
Function,"Tooltip.prototype.getUID",,2,,1
Function,"Tooltip.prototype.getViewportAdjustedDelta",,7,,3
Function,"Tooltip.prototype.hasContent",,1,,0
Function,"Tooltip.prototype.hide",,5,,1
Function,"Tooltip.prototype.hide.complete",,2,,1
Function,"Tooltip.prototype.init",,7,,3
Function,"Tooltip.prototype.leave",,6,,1
Unnamed Function,"Tooltip.prototype.leave.(unnamed_function_40)",,2,,1
Function,"Tooltip.prototype.replaceArrow",,2,,0
Function,"Tooltip.prototype.setContent",,2,,0
Function,"Tooltip.prototype.show",,14,,2
Function,"Tooltip.prototype.show.complete",,1,,0
Function,"Tooltip.prototype.tip",,1,,0
Function,"Tooltip.prototype.toggle",,4,,2
